Name Of Player,Country,Years
 , ,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SR Tendulkar, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,894,1360,1679,2768,3212,4823,5834,7728,8571,9899,10803,11544,12685,13497,13909,14537,15962,16422,17394,17598,18111,18426,18426,18426,18426,18426,18426,18426,18426
KC Sangakkara, (Asia/ICC/SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,646,1651,2170,3180,4072,5353,6017,6959,7878,8604,9731,10915,12116,13372,14234,14234,14234,14234,14234
RT Ponting, (AUS/ICC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,929,1391,2170,3208,3718,4546,5580,6582,7422,8613,9411,10835,11113,12311,13082,13698,13716,13716,13716,13716,13716,13716,13716,13716
ST Jayasuriya, (Asia/SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,104,109,252,599,1161,1776,2610,3788,4449,5123,6140,7235,8645,9172,9896,10219,11442,12207,12785,13428,13428,13430,13430,13430,13430,13430,13430,13430,13430,13430
DPMD Jayawardene, (Asia/SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,842,1481,2656,3586,3760,4436,5006,6144,7232,7849,8518,9027,10059,10844,11401,12247,12650,12650,12650,12650,12650
Inzamam-ul-Haq, (Asia/PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,977,1706,2630,3306,3944,4700,5369,6475,7549,8195,8938,9356,10267,11141,11591,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739
JH Kallis, (Afr/ICC/SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1078,1606,2550,4081,4698,5902,6497,7267,7954,8327,9314,9871,10409,11002,11372,11498,11574,11579,11579,11579,11579,11579,11579
SC Ganguly, (Asia/INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,272,1610,2938,4705,6284,7097,8255,8967,9914,10123,10123,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363
R Dravid, (Asia/ICC/INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1426,1709,3470,4450,5190,6181,6726,7751,8843,9762,10585,10585,10765,10765,10889,10889,10889,10889,10889,10889,10889,10889,10889
V Kohli, (INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,484,1479,2860,3899,5154,6208,6831,7570,9030,10232,10843
MS Dhoni, (Asia/INDIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,914,1735,2838,3935,5133,5733,6497,7111,7774,8192,8832,9110,9898,10173,10500
BC Lara, (ICC/WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,380,1215,2417,2896,3702,4756,5149,5535,6166,6525,7257,7549,8437,8921,9359,10019,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405
TM Dilshan, (SL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,227,230,282,393,864,1261,1966,2580,2994,3994,4915,5735,6854,8014,9004,10216,10290,10290,10290,10290
CH Gayle, (ICC/WI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,331,1053,2150,3131,3853,4416,5633,6244,7111,7429,7885,8087,8432,8743,8810,9221,9221,9420,9727,10151
Mohammad Yousuf, (Asia/PAK),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479,1049,2210,2798,4160,5328,6096,6981,7608,8650,9242,9543,9720,9720,9720,9720,9720,9720,9720,9720,9720,9720
