Name Of Player,Date Month Year,Runs
K Christie,6 Nov 2016,0
Aamer Hameed,23 Dec 1977,-
Aamer Hanif,2 Nov 1993,17
Aamer Hanif,29 Sep 1995,55
Aamer Hanif,17 Oct 1995,17
Aamer Malik,18 Mar 1988,18
Aamer Malik,27 Oct 1988,13
Aamer Malik,2 Jan 1989,170
Aamer Malik,6 Feb 1989,1
Aamer Malik,4 Mar 1989,44
Aamer Malik,23 Mar 1989,34
Aamer Malik,25 Oct 1989,150
Aamer Malik,31 Dec 1989,106
Aamer Malik,14 Oct 1994,20
Aamer Nazir,26 Mar 1993,1
Aamer Nazir,5 Nov 1993,-
Aamer Nazir,25 Dec 1993,-
Aamer Nazir,22 Feb 1995,3
Aamer Nazir,8 Apr 1995,9
Aamer Sohail,21 Dec 1990,32
Aamer Sohail,23 Oct 1991,92
Aamer Sohail,20 Nov 1991,14
Aamer Sohail,23 Feb 1992,326
Aamer Sohail,20 May 1992,192
Aamer Sohail,4 Dec 1992,73
Aamer Sohail,26 Dec 1992,17
Aamer Sohail,19 Feb 1993,133
Aamer Sohail,2 Mar 1993,15
Aamer Sohail,23 Mar 1993,238
Aamer Sohail,29 Oct 1993,13
Aamer Sohail,3 Mar 1994,154
Aamer Sohail,15 Apr 1994,274
Aamer Sohail,3 Aug 1994,113
Aamer Sohail,7 Sep 1994,32
Aamer Sohail,14 Oct 1994,119
Aamer Sohail,2 Dec 1994,432
Aamer Sohail,22 Feb 1995,14
Aamer Sohail,7 Apr 1995,70
Aamer Sohail,29 Sep 1995,112
Aamer Sohail,12 Oct 1995,95
Aamer Sohail,15 Dec 1995,122
Aamer Sohail,24 Feb 1996,272
Aamer Sohail,1 Apr 1996,162
Aamer Sohail,12 Apr 1996,240
Aamer Sohail,29 Aug 1996,77
Aamer Sohail,16 Sep 1996,80
Aamer Sohail,30 Oct 1996,55
Aamer Sohail,8 Nov 1996,126
Aamer Sohail,15 Dec 1996,225
Aamer Sohail,14 Jul 1997,7
Aamer Sohail,2 Nov 1997,141
Aamer Sohail,12 Dec 1997,18
Aamer Sohail,11 Jan 1998,116
Aamer Sohail,28 Mar 1998,77
Aamer Sohail,3 Apr 1998,8
Aamer Sohail,12 Sep 1998,201
Aamer Sohail,29 Oct 1998,12
Aamer Sohail,6 Nov 1998,41
Aamer Sohail,20 Nov 1998,111
Aamer Sohail,16 Sep 1999,29
Aamer Sohail,14 Oct 1999,24
Aamer Sohail,13 Feb 2000,76
Aamer Yamin,1 Oct 2015,63
Aamer Yamin,19 Jan 2018,32
Aaqib Javed,10 Dec 1988,0
Aaqib Javed,6 Feb 1989,1
Aaqib Javed,4 Mar 1989,1
Aaqib Javed,23 Mar 1989,-
Aaqib Javed,15 Oct 1989,-
Aaqib Javed,28 Oct 1989,-
Aaqib Javed,18 Dec 1989,-
Aaqib Javed,31 Dec 1989,1
Aaqib Javed,27 Apr 1990,0
Aaqib Javed,20 Dec 1990,0
Aaqib Javed,17 Oct 1991,5
Aaqib Javed,20 Nov 1991,2
Aaqib Javed,10 Jan 1992,-
Aaqib Javed,23 Feb 1992,2
Aaqib Javed,20 May 1992,10
Aaqib Javed,10 Dec 1992,16
Aaqib Javed,26 Dec 1992,-
Aaqib Javed,1 Feb 1993,-
Aaqib Javed,9 Feb 1993,7
Aaqib Javed,2 Mar 1993,-
Aaqib Javed,23 Mar 1993,-
Aaqib Javed,29 Oct 1993,6
Aaqib Javed,24 Dec 1993,-
Aaqib Javed,15 Apr 1994,-
Aaqib Javed,16 Oct 1994,17
Aaqib Javed,2 Dec 1994,11
Aaqib Javed,22 Feb 1995,2
Aaqib Javed,7 Apr 1995,-
Aaqib Javed,29 Sep 1995,32
Aaqib Javed,12 Oct 1995,11
Aaqib Javed,15 Dec 1995,20
Aaqib Javed,24 Feb 1996,6
Aaqib Javed,1 Apr 1996,31
Aaqib Javed,12 Apr 1996,56
Aaqib Javed,9 May 1997,15
Aaqib Javed,14 Jul 1997,0
Aaqib Javed,13 Sep 1997,13
Aaqib Javed,28 Sep 1997,-
Aaqib Javed,14 Dec 1997,-
Aaqib Javed,11 Jan 1998,-
Aaqib Javed,12 Sep 1998,2
Aaqib Javed,24 Nov 1998,-
Aarif Sheikh,1 Aug 2018,16
Aarif Sheikh,30 Aug 2018,3
Aarif Sheikh,25 Jan 2019,75
VR Aaron,23 Oct 2011,-
VR Aaron,29 Nov 2011,6
VR Aaron,25 Jan 2014,2
VR Aaron,26 Feb 2014,-
VR Aaron,2 Nov 2014,-
Aaron Jones,27 Apr 2019,2
JS Ababu,25 Sep 1999,11
JS Ababu,15 Aug 2001,17
JS Ababu,25 Feb 2006,1
JS Ababu,13 Aug 2006,0
KJ Abbott,10 Mar 2013,5
KJ Abbott,17 Aug 2014,23
KJ Abbott,29 Aug 2014,6
KJ Abbott,27 Oct 2014,-
KJ Abbott,21 Nov 2014,-
KJ Abbott,25 Jan 2015,1
KJ Abbott,27 Feb 2015,12
KJ Abbott,10 Jul 2015,10
KJ Abbott,26 Aug 2015,3
KJ Abbott,25 Oct 2015,-
KJ Abbott,6 Feb 2016,10
KJ Abbott,3 Jun 2016,6
KJ Abbott,9 Oct 2016,0
SA Abbott,7 Oct 2014,3
Abdullah Mazari,9 Oct 2010,3
Abdul Jabbar,18 Oct 2007,59
Abdul Qadir,11 Jun 1983,62
Abdul Qadir,12 Jan 1984,60
Abdul Qadir,26 Mar 1984,3
Abdul Qadir,6 Apr 1984,7
Abdul Qadir,13 Oct 1985,20
Abdul Qadir,15 Nov 1985,-
Abdul Qadir,27 Nov 1985,42
Abdul Qadir,2 Mar 1986,1
Abdul Qadir,30 Mar 1986,44
Abdul Qadir,6 Apr 1986,41
Abdul Qadir,11 Apr 1986,34
Abdul Qadir,17 Oct 1986,37
Abdul Qadir,27 Jan 1987,49
Abdul Qadir,3 Apr 1987,13
Abdul Qadir,8 Oct 1987,56
Abdul Qadir,18 Nov 1987,28
Abdul Qadir,18 Mar 1988,2
Abdul Qadir,14 Oct 1988,0
Abdul Qadir,18 Oct 1988,11
Abdul Qadir,27 Oct 1988,5
Abdul Qadir,10 Dec 1988,26
Abdul Qadir,6 Feb 1989,9
Abdul Qadir,4 Mar 1989,49
Abdul Qadir,23 Mar 1989,7
Abdul Qadir,14 Oct 1989,2
Abdul Qadir,22 Oct 1989,53
Abdul Qadir,18 Dec 1989,0
Abdul Qadir,31 Dec 1989,1
Abdul Qadir,27 Apr 1990,1
Abdul Qadir,13 Nov 1990,1
Abdul Qadir,1 Nov 1993,7
Abdul Razzaq,1 Nov 1996,0
Abdul Razzaq,9 May 1997,8
Abdul Razzaq,3 Apr 1998,89
Abdul Razzaq,12 Sep 1998,4
Abdul Razzaq,24 Mar 1999,4
Abdul Razzaq,16 May 1999,170
Abdul Razzaq,16 Sep 1999,113
Abdul Razzaq,14 Oct 1999,80
Abdul Razzaq,9 Jan 2000,225
Abdul Razzaq,13 Feb 2000,60
Abdul Razzaq,23 Mar 2000,67
Abdul Razzaq,5 Apr 2000,67
Abdul Razzaq,2 Jun 2000,21
Abdul Razzaq,5 Jul 2000,22
Abdul Razzaq,20 Aug 2000,59
Abdul Razzaq,8 Oct 2000,48
Abdul Razzaq,24 Oct 2000,92
Abdul Razzaq,17 Feb 2001,149
Abdul Razzaq,8 Apr 2001,14
Abdul Razzaq,7 Jun 2001,125
Abdul Razzaq,27 Oct 2001,96
Abdul Razzaq,22 Jan 2002,98
Abdul Razzaq,14 Feb 2002,86
Abdul Razzaq,8 Apr 2002,60
Abdul Razzaq,21 Apr 2002,138
Abdul Razzaq,12 Aug 2002,72
Abdul Razzaq,29 Aug 2002,65
Abdul Razzaq,12 Sep 2002,16
Abdul Razzaq,8 Dec 2002,140
Abdul Razzaq,11 Feb 2003,99
Abdul Razzaq,3 Apr 2003,76
Abdul Razzaq,10 May 2003,64
Abdul Razzaq,17 Jun 2003,93
Abdul Razzaq,9 Sep 2003,42
